Unique_ID,Mothur_ID,site,week,Storet_ID,date,month,year
2018_14_20140001,14_20140001,Honey Creek Resort Beach,,21040001,08/22/18,August,2018
2018_14_21070001,14_21070001,George Wyth Beach,,21070001,08/22/18,August,2018
2018_14_21130001,14_21130001,North Twin Lake West Beach ,,21130001,08/22/18,August,2018
2018_14_21130002,14_21130002,North Twin Lake East Beach ,,21130002,08/22/18,August,2018
2018_14_21150001,14_21150001,Lake Anita Beach,,21150001,08/22/18,August,2018
2018_14_21170001,14_21170001,Clear Lake Beach,,21170001,08/22/18,August,2018
2018_14_21170002,14_21170002,McIntosh Woods Beach,,21170002,08/22/18,August,2018
2018_14_21260001,14_21260001,Lake Wapello Beach,,21260001,08/22/18,August,2018
2018_14_21270001,14_21270001,Nine Eagles Beach,,21270001,08/22/18,August,2018
2018_14_21280001,14_21280001,Backbone Beach,,21280001,08/22/18,August,2018
2018_14_21300001,14_21300001,Gull Point Beach,,21300001,08/22/18,August,2018
2018_14_21300002,14_21300002,Pike’s Point Beach,,21300002,08/22/18,August,2018
2018_14_21300003,14_21300003,Triboji Beach,,21300003,08/22/18,August,2018
2018_14_21300004,14_21300004,Emerson Bay Beach,,21300004,08/22/18,August,2018
2018_14_21300005,14_21300005,Crandall’s Beach,,21300005,08/22/18,August,2018
2018_14_21350001,14_21350001,Beed’s Lake Beach,,21350001,08/22/18,August,2018
2018_14_21390001,14_21390001,Springbrook Beach,,21390001,08/22/18,August,2018
2018_14_21420001,14_21420001,Lower Pine Lake Beach,,21420001,08/22/18,August,2018
2018_14_21500001,14_21500001,Rock Creek Beach,,21500001,08/22/18,August,2018
2018_14_21520001,14_21520001,Lake Macbride Beach,,21520001,08/22/18,August,2018
2018_14_21590001,14_21590001,Red Haw Beach,,21590001,08/22/18,August,2018
2018_14_21620001,14_21620001,Lake Keomah Beach,,21620001,08/22/18,August,2018
2018_14_21670001,14_21670001,Lewis and Clark (Blue Lake) Beach,,21670001,08/22/18,August,2018
2018_14_21690001,14_21690001,Viking Lake Beach,,21690001,08/22/18,August,2018
2018_14_21770001,14_21770001,Big Creek Beach,,21770001,08/22/18,August,2018
2018_14_21780001,14_21780001,Lake Manawa Beach,,21780001,08/22/18,August,2018
2018_14_21810001,14_21810001,Denison Beach,,21810001,08/22/18,August,2018
2018_14_21810002,14_21810002,Black Hawk Beach,,21810002,08/22/18,August,2018
2018_14_21830001,14_21830001,Prairie Rose Beach,,21830001,08/22/18,August,2018
2018_14_21860001,14_21860001,Union Grove Beach,,21860001,08/22/18,August,2018
2018_14_21870001,14_21870001,Lake of Three Fires Beach,,21870001,08/22/18,August,2018
2018_14_21880001,14_21880001,Green Valley Beach,,21880001,08/22/18,August,2018
2018_14_21890001,14_21890001,Lacey-Keosauqua Beach,,21890001,08/22/18,August,2018
2018_14_21910001,14_21910001,Lake Ahquabi Beach,,21910001,08/22/18,August,2018
2018_14_21920001,14_21920001,Lake Darling Beach,,21920001,08/22/18,August,2018
2018_14_21940001,14_21940001,Brushy Creek Beach,,21940001,08/22/18,August,2018
2018_15_20140001,15_20140001,Honey Creek Resort Beach,,21040001,08/29/18,August,2018
2018_15_21070001,15_21070001,George Wyth Beach,,21070001,08/29/18,August,2018
2018_15_21130001,15_21130001,North Twin Lake West Beach ,,21130001,08/29/18,August,2018
2018_15_21130002,15_21130002,North Twin Lake East Beach ,,21130002,08/29/18,August,2018
2018_15_21150001,15_21150001,Lake Anita Beach,,21150001,08/29/18,August,2018
2018_15_21170001,15_21170001,Clear Lake Beach,,21170001,08/29/18,August,2018
2018_15_21170002,15_21170002,McIntosh Woods Beach,,21170002,08/29/18,August,2018
2018_15_21260001,15_21260001,Lake Wapello Beach,,21260001,08/29/18,August,2018
2018_15_21270001,15_21270001,Nine Eagles Beach,,21270001,08/29/18,August,2018
2018_15_21280001,15_21280001,Backbone Beach,,21280001,08/29/18,August,2018
2018_15_21300001,15_21300001,Gull Point Beach,,21300001,08/29/18,August,2018
2018_15_21300002,15_21300002,Pike’s Point Beach,,21300002,08/29/18,August,2018
2018_15_21300003,15_21300003,Triboji Beach,,21300003,08/29/18,August,2018
2018_15_21300004,15_21300004,Emerson Bay Beach,,21300004,08/29/18,August,2018
2018_15_21300005,15_21300005,Crandall’s Beach,,21300005,08/29/18,August,2018
2018_15_21350001,15_21350001,Beed’s Lake Beach,,21350001,08/29/18,August,2018
2018_15_21390001,15_21390001,Springbrook Beach,,21390001,08/29/18,August,2018
2018_15_21420001,15_21420001,Lower Pine Lake Beach,,21420001,08/29/18,August,2018
2018_15_21500001,15_21500001,Rock Creek Beach,,21500001,08/29/18,August,2018
2018_15_21520001,15_21520001,Lake Macbride Beach,,21520001,08/29/18,August,2018
2018_15_21590001,15_21590001,Red Haw Beach,,21590001,08/29/18,August,2018
2018_15_21620001,15_21620001,Lake Keomah Beach,,21620001,08/29/18,August,2018
2018_15_21670001,15_21670001,Lewis and Clark (Blue Lake) Beach,,21670001,08/29/18,August,2018
2018_15_21690001,15_21690001,Viking Lake Beach,,21690001,08/29/18,August,2018
2018_15_21770001,15_21770001,Big Creek Beach,,21770001,08/29/18,August,2018
2018_15_21780001,15_21780001,Lake Manawa Beach,,21780001,08/29/18,August,2018
2018_15_21810001,15_21810001,Denison Beach,,21810001,08/29/18,August,2018
2018_15_21810002,15_21810002,Black Hawk Beach,,21810002,08/29/18,August,2018
2018_15_21830001,15_21830001,Prairie Rose Beach,,21830001,08/29/18,August,2018
2018_15_21860001,15_21860001,Union Grove Beach,,21860001,08/29/18,August,2018
2018_15_21870001,15_21870001,Lake of Three Fires Beach,,21870001,08/29/18,August,2018
2018_15_21880001,15_21880001,Green Valley Beach,,21880001,08/29/18,August,2018
2018_15_21890001,15_21890001,Lacey-Keosauqua Beach,,21890001,08/29/18,August,2018
