Unique_ID,Mothur_ID,Site,week,StoretID,date,month,year
2018_8_21040001,8_21040001,Honey Creek Resort Beach,,21040001,07/10/18,July,2018
2018_8_21070001,8_21070001,George Wyth Beach,,21070001,07/10/18,July,2018
2018_8_21130001,8_21130001,North Twin Lake West Beach ,,21130001,07/10/18,July,2018
2018_8_21130002,8_21130002,North Twin Lake East Beach ,,21130002,07/10/18,July,2018
2018_8_21150001,8_21150001,Lake Anita Beach,,21150001,07/10/18,July,2018
2018_8_21170001,8_21170001,Clear Lake Beach,,21170001,07/10/18,July,2018
2018_8_21170002,8_21170002,McIntosh Woods Beach,,21170002,07/10/18,July,2018
2018_8_21260001,8_21260001,Lake Wapello Beach,,21260001,07/10/18,July,2018
2018_8_21270001,8_21270001,Nine Eagles Beach,,21270001,07/10/18,July,2018
2018_8_21280001,8_21280001,Backbone Beach,,21280001,07/10/18,July,2018
2018_8_21300001,8_21300001,Gull Point Beach,,21300001,07/10/18,July,2018
2018_8_21300002,8_21300002,Pike’s Point Beach,,21300002,07/10/18,July,2018
2018_8_21300003,8_21300003,Triboji Beach,,21300003,07/10/18,July,2018
2018_8_21300004,8_21300004,Emerson Bay Beach,,21300004,07/10/18,July,2018
2018_8_21300005,8_21300005,Crandall’s Beach,,21300005,07/10/18,July,2018
2018_8_21350001,8_21350001,Beed’s Lake Beach,,21350001,07/10/18,July,2018
2018_8_21390001,8_21390001,Springbrook Beach,,21390001,07/10/18,July,2018
2018_8_21420001,8_21420001,Lower Pine Lake Beach,,21420001,07/10/18,July,2018
2018_8_21500001,8_21500001,Rock Creek Beach,,21500001,07/10/18,July,2018
2018_8_21520001,8_21520001,Lake Macbride Beach,,21520001,07/10/18,July,2018
2018_8_21590001,8_21590001,Red Haw Beach,,21590001,07/10/18,July,2018
2018_8_21620001,8_21620001,Lake Keomah Beach,,21620001,07/10/18,July,2018
2018_8_21670001,8_21670001,Lewis and Clark (Blue Lake) Beach,,21670001,07/10/18,July,2018
2018_8_21690001,8_21690001,Viking Lake Beach,,21690001,07/10/18,July,2018
2018_8_21770001,8_21770001,Big Creek Beach,,21770001,07/10/18,July,2018
2018_8_21780001,8_21780001,Lake Manawa Beach,,21780001,07/10/18,July,2018
2018_8_21810001,8_21810001,Denison Beach,,21810001,07/10/18,July,2018
2018_8_21810002,8_21810002,Black Hawk Beach,,21810002,07/10/18,July,2018
2018_8_21830001,8_21830001,Prairie Rose Beach,,21830001,07/10/18,July,2018
2018_8_21860001,8_21860001,Union Grove Beach,,21860001,07/10/18,July,2018
2018_8_21870001,8_21870001,Lake of Three Fires Beach,,21870001,07/10/18,July,2018
2018_8_21880001,8_21880001,Green Valley Beach,,21880001,07/10/18,July,2018
2018_8_21890001,8_21890001,Lacey-Keosauqua Beach,,21890001,07/10/18,July,2018
2018_8_21910001,8_21910001,Lake Ahquabi Beach,,21910001,07/10/18,July,2018
2018_8_21920001,8_21920001,Lake Darling Beach,,21920001,07/10/18,July,2018
2018_8_21940001,8_21940001,Brushy Creek Beach,,21940001,07/10/18,July,2018
2018_9_21040001,9_21040001,Honey Creek Resort Beach,,21040001,07/17/18,July,2018
2018_9_21070001,9_21070001,George Wyth Beach,,21070001,07/17/18,July,2018
2018_9_21130002,9_21130002,North Twin Lake West Beach ,,21130002,07/17/18,July,2018
2018_9_21150001,9_21150001,North Twin Lake East Beach ,,21150001,07/17/18,July,2018
2018_9_21170001,9_21170001,Lake Anita Beach,,21170001,07/17/18,July,2018
2018_9_21170002,9_21170002,Clear Lake Beach,,21170002,07/17/18,July,2018
2018_9_21260001,9_21260001,McIntosh Woods Beach,,21260001,07/17/18,July,2018
2018_9_21270001,9_21270001,Lake Wapello Beach,,21270001,07/17/18,July,2018
2018_9_21280001,9_21280001,Nine Eagles Beach,,21280001,07/17/18,July,2018
2018_9_21300001,9_21300001,Backbone Beach,,21300001,07/17/18,July,2018
2018_9_21300002,9_21300002,Gull Point Beach,,21300002,07/17/18,July,2018
2018_9_21300003,9_21300003,Pike’s Point Beach,,21300003,07/17/18,July,2018
2018_9_21300004,9_21300004,Triboji Beach,,21300004,07/17/18,July,2018
