Unique_ID,Mothur_ID,Site,week,StoretID,date,month,year,cyano_chla,green_chla,brown_chla,PE_chla,tot_chla,Fit_error,led440,led480,led540,led590,led625,est440,est480,est540,est590,est625,check440,check480,check540,check590,check625,diff440,diff480,diff540,diff590,diff625
2018_1_21350001,1_21350001,Beed’s Lake,1,21350001,05/22/18,May,2018,2,3.333333333,15.33333333,3.333333333,24,0,1298.333333,813.3333333,591.6666667,775.6666667,372.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1296.442432,815.8389698,592.5921406,775.034864,373.5975731,-1.890900934,2.505636456,0.925473888,-0.631802709,0.930906401
2018_1_21810002,1_21810002,Black Hawk,1,21810002,05/22/18,May,2018,0,0,0,0,0,32000,-693.6666667,-904.6666667,-1566.333333,-1466.333333,-2726,Overestimate,Overestimate,Overestimate,Overestimate,Overestimate,1245.953864,546.9384184,597.9173083,2303.822662,1485.076568,1939.620531,1451.605085,2164.250642,3770.155996,4211.076568
2018_1_21940001,1_21940001,Brushy Creek,1,21940001,05/22/18,May,2018,2,0,10,2.666666667,14.66666667,0.333333333,1242,723.3333333,618.3333333,933.6666667,972,Underestimate,Overestimate,Underestimate,Overestimate,Underestimate,1236.274837,732.5283358,592.41913,1115.677646,706.9605021,-5.725162738,9.195002447,-25.91420332,182.0109797,-265.0394979
2018_1_21170001,1_21170001,Clear Lake,1,21170001,05/22/18,May,2018,3.333333333,3.333333333,11,0,17.66666667,0,1365,835,566,846.6666667,506.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1360.645241,840.7691924,568.1346188,845.2101329,508.811736,-4.354759373,5.769192448,2.134618774,-1.456533772,2.145069301
2018_1_21810001,1_21810001,Denison,1,21810001,05/22/18,May,2018,2,0.666666667,14.33333333,2,19,0,1254,778.3333333,577.3333333,666.6666667,343,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1255.929554,775.7772527,576.3828885,667.3146009,342.0460471,1.929553658,-2.556080634,-0.950444799,0.647934263,-0.953952869
2018_1_21420001,1_21420001,Lower Pine Lake,1,21420001,05/22/18,May,2018,2,2.666666667,7.333333333,3.666666667,15.66666667,3,1169,636.6666667,519,883,348.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1110.912813,713.6293776,547.5102243,863.5430875,376.9791201,-58.08718739,76.96271091,28.5102243,-19.45691252,28.64578681
2018_1_21170002,1_21170002,McIntosh Woods,1,21170002,05/22/18,May,2018,4.666666667,0,18.66666667,4,27.33333333,0,1259.666667,769,645.6666667,887.3333333,466.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,1262.818823,776.9063673,624.7280893,894.3634406,459.0803834,3.152156167,7.90636732,-20.93857738,7.030107244,-7.25294991
2018_1_21130002,1_21130002,North Twin Lake East,1,21130002,05/22/18,May,2018,46.33333333,0,0,78.66666667,125,35.66666667,479.6666667,307,884,1542.333333,757.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,566.6904387,393.2965888,560.000233,1643.93807,651.6861675,87.02377199,86.29658882,-323.999767,101.6047367,-105.6471659
2018_1_21130001,1,North Twin Lake West,1,21130001,05/22/18,May,2018,28,0,0,66.33333333,94.33333333,32.33333333,580.3333333,357.3333333,862.3333333,1454.333333,740,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,645.0970481,436.1745687,566.3134033,1557.419802,630.4280007,64.76371479,78.8412354,-296.01993,103.0864685,-109.5719993
2018_1_21500001,1_21500001,Rock Creek,1,21500001,05/22/18,May,2018,1,12,6,0,19,5,1504.333333,838.3333333,390,706.6666667,432.6666667,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1415.944375,935.5648676,429.3301012,716.7722116,417.1783533,-76.72229192,97.23153429,39.33010122,10.1055449,-15.48831338
2018_2_21350001,2_21350001,Beed’s Lake,2,21350001,05/30/18,May,2018,3,0,36.33333333,2,41.33333333,0,1110.666667,712.3333333,519.3333333,514,291.6666667,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1128.325823,690.384622,508.0450821,521.2231375,281.5059599,17.6591564,-21.9487113,-11.28825123,7.223137528,-10.16070679
